cc_num,gender,city,state,zip,lat,long,city_pop,job,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_datetime,age
30489047607865,F,White Water,CA,92282,33.9276,-116.6932,1239,Radiation protection practitioner,gas_transport,7.75,0,Cummings LLC,33.098691,-117.356396,2019-01-01 00:41:45,46
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,129.16,0,Kutch LLC,40.227933,-91.529702,2019-01-01 01:08:32,52
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,4.35,0,Sporer Inc,40.859025,-90.517438,2019-01-01 07:23:52,52
2281204850766530,F,Nauvoo,IL,62354,40.5261,-91.3318,1684,Clinical biochemist,gas_transport,153.17,0,Huels-Hahn,41.410172,-90.528132,2019-01-01 08:56:05,81
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,116.53,0,Torp-Labadie,39.949192,-91.91792,2019-01-01 09:06:27,52
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,6.9,0,"Christiansen, Goyette and Schamberger",39.109158,-90.325875,2019-01-01 10:51:48,52
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,56.02,0,"Connelly, Reichert and Fritsch",33.28391,-94.580864,2019-01-02 01:10:57,53
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,51.97,0,"Eichmann, Bogan and Rodriguez",40.69387,-91.242734,2019-01-02 02:53:10,52
30489047607865,F,White Water,CA,92282,33.9276,-116.6932,1239,Radiation protection practitioner,gas_transport,55.21,0,"Greenholt, Jacobi and Gleason",34.389587,-117.277611,2019-01-02 04:50:03,46
4322399821374559,F,Creola,OH,45622,39.3543,-82.503,321,Medical technical officer,gas_transport,9.54,0,Friesen-Stamm,39.056071,-82.717329,2019-01-02 05:18:21,52
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,31.18,0,Bernhard Inc,39.755931,-91.303125,2019-01-02 05:47:59,52
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,62.34,0,"Zieme, Bode and Dooley",32.78168,-94.595704,2019-01-02 11:26:23,53
4261632488890,F,Lone Star,TX,75668,32.9252,-94.7049,1993,Interpreter,gas_transport,70.77,0,Harris Inc,32.544102,-93.840944,2019-01-03 02:52:11,52
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,58.76,0,Kutch LLC,40.302675,-91.740708,2019-01-03 03:23:38,52
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,1.56,0,"Zieme, Bode and Dooley",40.347796,-91.395491,2019-01-03 03:39:44,52
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,139.67,0,Huels-Nolan,32.846302,-94.397141,2019-01-03 06:41:34,53
3553536597466984,F,Firth,ID,83236,43.3021,-112.1588,2275,Information officer,gas_transport,128.81,0,"Streich, Hansen and Veum",43.87929,-111.627523,2019-01-03 06:57:08,61
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,2.23,0,Kutch LLC,40.605265,-91.139667,2019-01-03 07:24:50,52
4322399821374559,F,Creola,OH,45622,39.3543,-82.503,321,Medical technical officer,gas_transport,24.88,0,Schmitt Inc,40.027131,-83.448095,2019-01-03 09:37:31,52
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,1.97,0,Prohaska-Murray,39.31814,-91.623827,2019-01-03 09:43:23,52
4322399821374559,F,Creola,OH,45622,39.3543,-82.503,321,Medical technical officer,gas_transport,49.55,0,Rodriguez Group,40.157332,-81.791238,2019-01-03 10:53:54,52
4322399821374559,F,Creola,OH,45622,39.3543,-82.503,321,Medical technical officer,gas_transport,37.48,0,"Tillman, Dickinson and Labadie",39.076077,-83.293658,2019-01-03 10:56:14,52
2281204850766530,F,Nauvoo,IL,62354,40.5261,-91.3318,1684,Clinical biochemist,gas_transport,56.93,0,"Eichmann, Bogan and Rodriguez",39.683862,-92.01549,2019-01-03 11:41:27,81
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,4.46,0,Erdman-Kertzmann,40.255221,-91.066564,2019-01-04 01:28:46,52
4261632488890,F,Lone Star,TX,75668,32.9252,-94.7049,1993,Interpreter,gas_transport,134.86,0,Cummerata-Jones,33.322845,-94.798228,2019-01-04 01:32:19,52
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,136.06,0,Brekke and Sons,33.663126,-96.090626,2019-01-04 01:45:33,53
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,61.24,0,Huels-Hahn,33.3814,-95.469279,2019-01-04 01:58:31,53
2281204850766530,F,Nauvoo,IL,62354,40.5261,-91.3318,1684,Clinical biochemist,gas_transport,63.64,0,Schmitt Inc,41.472813,-91.235642,2019-01-04 02:20:11,81
30489047607865,F,White Water,CA,92282,33.9276,-116.6932,1239,Radiation protection practitioner,gas_transport,61.51,0,Cummings LLC,34.535003,-115.79584,2019-01-04 02:25:46,46
3505560571219887,F,Liberty,IL,62347,39.8892,-91.0869,2282,"Physicist, medical",gas_transport,139.61,0,Kutch LLC,40.683299,-91.270274,2019-01-04 02:55:14,52
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,16.19,0,"Tillman, Dickinson and Labadie",34.002733,-95.977151,2019-01-04 04:04:50,53
6011592386879068,F,Bogata,TX,75417,33.4699,-95.1937,2456,Accounting technician,gas_transport,8.66,0,Bartoletti-Wunsch,32.610821,-95.994943,2019-01-04 05:53:19,53
3553536597466984,F,Firth,ID,83236,43.3021,-112.1588,2275,Information officer,gas_transport,75.54,0,Prohaska-Murray,43.506807,-112.364138,2019-01-04 05:58:46,61
